Amsterdamse code,CBS code,Naam,# geldige stemmen,# ongeldige/blanco stemmen,Percentage ongeldige/blanco stemmen,# kiesgerechtigden,Opkomst,Opkomstpercentage,CDA,PvdA,VVD,D66,GL,SGP,GPV,RPF,CD,SP,De Groenen,Vrouwenpartij,Bejaarden Centraal,VCN: partij van communisten in Nederland,Realisten Nederland,Socialistische Arbeiderspartij,Anti Werkloosheid Partij,Politieke Partij voor Ouderen,Vooruitstrevende Minderheden Partij,Partij Democratisch Socialisten,Socialistische Minderheden Partij,Humanistische Partij,Milieu Defensie Partij 2000+,Grote Alliance Partij,Staatkundige Federatie
11417,365,Graft-De Rijp,3616,11,"0,30 %",4150,3627,"87,40 %",1234,909,904,334,161,9,4,1,21,0,17,5,4,4,5,1,1,2,0,0,0,0,0,0,0
11339,157,Gramsbergen,4044,9,"0,22 %",4384,4053,"92,45 %",1989,1298,318,135,60,9,171,47,6,4,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0
11008,909,Grathem,1779,8,"0,45 %",2181,1787,"81,93 %",1153,324,169,86,20,1,5,2,9,1,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0
10165,786,Grave,6175,9,"0,15 %",7764,6184,"79,65 %",2743,1666,832,536,233,11,14,12,28,67,9,5,10,1,1,2,1,0,4,0,0,0,0,0,0
10244,16,Grijpskerk,2754,6,"0,22 %",3085,2760,"89,47 %",1404,572,300,151,84,2,191,31,1,1,6,0,0,1,10,0,0,0,0,0,0,0,0,0,0
11094,240,Groenlo,5721,4,"0,07 %",6694,5725,"85,52 %",3419,1399,403,310,135,4,10,4,5,9,5,4,0,2,3,2,2,4,1,0,0,0,0,0,0
10616,241,Groesbeek,11355,56,"0,49 %",14365,11411,"79,44 %",4723,4651,839,570,373,8,15,20,47,49,21,15,0,1,5,11,2,4,1,0,0,0,0,0,0
10426,14,Groningen,109898,324,"0,29 %",137666,110222,"80,06 %",18329,49575,12735,11265,10238,163,4470,548,424,919,438,217,0,214,256,60,23,0,24,0,0,0,0,0,0
11080,15,Grootegast,5563,27,"0,49 %",6490,5590,"86,13 %",2891,1370,399,176,110,31,397,157,9,1,8,4,0,2,6,1,0,0,1,0,0,0,0,0,0
10176,912,Grubbenvorst,4190,7,"0,17 %",5082,4197,"82,59 %",2595,808,455,217,67,3,14,2,7,3,7,8,2,1,0,0,0,0,1,0,0,0,0,0,0
11032,913,Gulpen,4735,17,"0,36 %",5698,4752,"83,40 %",2315,1608,379,222,117,7,13,15,18,12,12,10,3,1,1,0,0,0,2,0,0,0,0,0,0
11435,158,Haaksbergen,14735,44,"0,30 %",16932,14779,"87,28 %",8155,3475,1723,858,325,10,39,26,38,15,22,9,9,5,0,3,3,18,2,0,0,0,0,0,0
11155,788,Haaren,3231,7,"0,22 %",3888,3238,"83,28 %",2026,546,324,196,104,1,6,1,3,6,7,3,0,1,2,2,2,0,1,0,0,0,0,0,0
10357,392,Haarlem,90781,285,"0,31 %",117230,91066,"77,68 %",25901,32135,14262,9233,5505,239,600,541,860,128,634,116,133,105,46,43,29,242,20,0,9,0,0,0,0
10508,393,Haarlemmerliede c.a.,3258,4,"0,12 %",3867,3262,"84,35 %",1409,683,616,314,122,14,14,17,30,6,23,2,2,4,0,0,0,2,0,0,0,0,0,0,0
11387,394,Haarlemmermeer,55786,110,"0,20 %",69523,55896,"80,40 %",20476,11689,13862,5461,1810,628,515,480,348,50,162,81,36,48,42,23,15,46,12,0,2,0,0,0,0
10321,914,Haelen,3743,8,"0,21 %",4569,3751,"82,10 %",2138,844,401,214,97,3,10,9,11,0,7,4,3,0,0,1,0,0,1,0,0,0,0,0,0
10387,789,Halsteren,7403,26,"0,35 %",9704,7429,"76,56 %",2875,2498,1044,587,209,21,16,15,67,10,19,25,0,3,4,8,1,0,1,0,0,0,0,0,0
11283,790,Haps,1825,7,"0,38 %",1880,1832,"97,45 %",1226,376,110,73,27,0,0,0,2,1,5,2,1,1,0,1,0,0,0,0,0,0,0,0,0
10174,160,Hardenberg,20811,40,"0,19 %",23025,20851,"90,56 %",10053,5009,1374,690,291,57,3040,222,24,7,14,15,4,2,2,4,2,1,0,0,0,0,0,0,0
10786,243,Harderwijk,20558,60,"0,29 %",24776,20618,"83,22 %",9380,3588,3256,1259,628,904,564,761,84,31,39,21,11,5,18,8,0,0,1,0,0,0,0,0,0
10167,523,Hardinxveld-Giessendam,10312,15,"0,15 %",12177,10327,"84,81 %",3067,2463,1004,508,126,1966,576,494,56,9,22,7,2,4,7,1,0,0,0,0,0,0,0,0,0
11058,17,Haren,12984,34,"0,26 %",14501,13018,"89,77 %",3665,3571,3141,1402,439,27,526,80,29,7,41,13,0,1,38,0,4,0,0,0,0,0,0,0,0
10963,395,Harenkarspel,3868,11,"0,28 %",4687,3879,"82,76 %",2124,748,528,239,139,1,23,7,13,4,23,3,8,1,2,1,1,2,1,0,0,0,0,0,0
10909,72,Harlingen,9724,24,"0,25 %",11573,9748,"84,23 %",2433,4581,1259,663,290,17,293,86,41,16,15,11,0,3,5,9,2,0,0,0,0,0,0,0,0
10183,318,Harmelen,4755,17,"0,36 %",5700,4772,"83,72 %",2230,740,1047,356,156,106,25,51,21,0,13,4,2,0,1,0,0,0,2,0,0,1,0,0,0
10115,161,Hasselt,4109,11,"0,27 %",4632,4120,"88,95 %",1578,940,324,170,75,212,486,304,3,3,10,1,1,0,0,0,1,1,0,0,0,0,0,0,0
10673,244,Hattem,7654,15,"0,20 %",8512,7669,"90,10 %",2696,2326,818,453,152,78,804,270,14,3,20,4,6,0,3,5,1,0,1,0,0,0,0,0,0
10186,117,Havelte,4072,16,"0,39 %",4594,4088,"88,99 %",727,1854,1073,241,109,2,15,16,10,2,16,2,0,1,3,1,0,0,0,0,0,0,0,0,0
11257,524,Hazerswoude,7042,20,"0,28 %",8242,7062,"85,68 %",3441,1078,1157,593,245,212,46,190,33,12,16,9,5,0,4,0,1,0,0,0,0,0,0,0,0
10982,245,Hedel,2480,5,"0,20 %",2845,2485,"87,35 %",1091,583,331,152,50,202,37,11,8,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
11208,915,Heel en Panheel,2194,8,"0,36 %",3217,2202,"68,45 %",1139,541,284,152,56,2,1,1,8,1,5,0,1,0,1,1,1,0,0,0,0,0,0,0,0
10679,396,Heemskerk,19678,48,"0,24 %",24805,19726,"79,52 %",7647,5858,2783,1835,977,78,114,60,115,24,78,29,24,16,19,4,3,13,0,0,1,0,0,0,0
11288,397,Heemstede,17662,44,"0,25 %",20623,17706,"85,86 %",6337,3040,5565,1742,576,34,99,54,75,3,68,13,11,2,5,4,4,28,1,0,1,0,0,0,0
10291,246,Heerde,11994,23,"0,19 %",13620,12017,"88,23 %",4621,3834,1326,505,136,419,345,733,24,4,20,9,1,1,5,3,3,0,5,0,0,0,0,0,0
10680,74,Heerenveen,24618,86,"0,35 %",28930,24704,"85,39 %",5619,12250,3156,1802,937,37,348,207,56,23,76,33,0,34,27,6,1,0,6,0,0,0,0,0,0
10067,247,Heerewaarden,781,3,"0,38 %",881,784,"88,99 %",154,405,162,28,19,4,2,0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
10752,398,Heerhugowaard,19541,41,"0,21 %",24591,19582,"79,63 %",7564,5003,3703,1943,848,17,69,131,62,22,72,36,12,15,17,10,6,9,2,0,0,0,0,0,0
10540,526,Heerjansdam,2217,5,"0,23 %",2625,2222,"84,65 %",800,614,398,190,60,55,20,40,22,4,3,3,2,0,2,3,1,0,0,0,0,0,0,0,0
10902,917,Heerlen,52216,186,"0,36 %",72566,52402,"72,21 %",18912,21851,3985,2864,1752,70,205,114,458,1340,176,116,192,55,51,33,25,0,17,0,0,0,0,0,0
10149,791,Heesch,6784,22,"0,32 %",8292,6806,"82,08 %",3325,1724,697,444,123,2,1,7,7,433,6,4,3,0,1,3,1,0,3,0,0,0,0,0,0
10690,792,Heeswijk-Dinther,5269,21,"0,40 %",6151,5290,"86,00 %",3341,996,382,276,193,2,2,3,9,33,12,8,0,0,1,3,5,0,3,0,0,0,0,0,0
10462,793,Heeze,6020,15,"0,25 %",7018,6035,"85,99 %",3196,1341,811,453,149,1,9,5,10,9,12,12,7,1,0,2,1,0,1,0,0,0,0,0,0
10246,19,Hefshuizen,7061,22,"0,31 %",8018,7083,"88,34 %",2607,2517,661,211,159,25,761,48,5,8,8,5,0,3,36,2,5,0,0,0,0,0,0,0,0
10793,399,Heiloo,13715,46,"0,34 %",15910,13761,"86,49 %",5227,2985,3451,1255,482,14,50,61,59,9,73,17,11,7,9,2,2,1,0,0,0,0,0,0,0
10854,162,Heino,4787,9,"0,19 %",5317,4796,"90,20 %",2661,991,528,275,105,8,135,64,7,1,8,1,0,0,0,0,2,1,0,0,0,0,0,0,0
10205,918,Helden,10254,20,"0,20 %",13036,10274,"78,81 %",6621,1988,797,493,237,4,11,9,25,13,29,13,10,1,1,2,0,0,0,0,0,0,0,0,0
10806,163,Hellendoorn,22569,47,"0,21 %",25355,22616,"89,20 %",13751,4715,1594,926,412,149,476,433,34,10,15,19,11,1,6,1,7,9,0,0,0,0,0,0,0
11078,530,Hellevoetsluis,18249,62,"0,34 %",24111,18311,"75,94 %",3804,6865,3961,1976,831,122,111,110,260,42,65,30,28,7,12,14,9,0,2,0,0,0,0,0,0
10932,794,Helmond,36359,87,"0,24 %",49615,36446,"73,46 %",14262,13737,3800,2327,1105,31,80,47,232,478,68,42,33,62,23,16,5,0,11,0,0,0,0,0,0
10389,795,Helvoirt,2978,16,"0,54 %",3450,2994,"86,78 %",1569,619,444,229,73,5,8,2,9,8,4,7,0,1,0,0,0,0,0,0,0,0,0,0,0
10416,531,Hendrik-Ido-Ambacht,11815,3,"0,03 %",14090,11818,"83,88 %",3809,2750,2208,958,217,1379,183,189,64,9,25,9,6,4,2,2,1,0,0,0,0,0,0,0,0
10907,164,Hengelo,48357,117,"0,24 %",57027,48474,"85,00 %",18124,16523,5414,4026,1962,76,548,452,257,530,118,56,40,27,22,29,17,131,5,0,0,0,0,0,0
10359,248,Hengelo,5531,20,"0,36 %",6380,5551,"87,01 %",3007,1475,638,221,90,22,12,20,12,3,10,5,0,0,3,4,7,2,0,0,0,0,0,0,0
10138,919,Herten,2287,6,"0,26 %",2768,2293,"82,84 %",1203,555,282,147,68,4,2,0,11,4,1,4,5,0,0,0,0,0,1,0,0,0,0,0,0
10128,63,het Bildt,6381,29,"0,45 %",7441,6410,"86,14 %",2621,2402,624,297,221,16,54,70,20,5,17,12,0,8,8,4,1,0,1,0,0,0,0,0,0
10290,251,Heteren,5318,19,"0,36 %",6303,5337,"84,67 %",2452,1424,654,368,119,161,51,39,19,8,14,6,0,1,1,0,0,1,0,0,0,0,0,0,0
