Partij,Aggregatie partij,# Stemmen,Percentage,# Zetels
CDA,,3135056,"35,32 %",54
PvdA,,2832739,"31,91 %",49
VVD,,1290427,"14,54 %",22
D66,,700538,"7,89 %",12
GL,,361324,"4,07 %",6
SGP,,165918,"1,87 %",3
GPV,,109458,"1,23 %",2
RPF,,85081,"0,96 %",1
CD,,81337,"0,92 %",1
SP,,38829,"0,44 %",0
De Groenen,,30698,"0,35 %",0
Vrouwenpartij,,12018,"0,14 %",0
Bejaarden Centraal,,7840,"0,09 %",0
VCN: partij van communisten in Nederland,,7361,"0,08 %",0
Realisten Nederland,,6032,"0,07 %",0
Socialistische Arbeiderspartij,,4283,"0,05 %",0
Anti Werkloosheid Partij,,2166,"0,02 %",0
Politieke Partij voor Ouderen,,2149,"0,02 %",0
Vooruitstrevende Minderheden Partij,,1939,"0,02 %",0
Partij Democratisch Socialisten,,452,"0,01 %",0
Socialistische Minderheden Partij,,328,"0,00 %",0
Humanistische Partij,,318,"0,00 %",0
Milieu Defensie Partij 2000+,,138,"0,00 %",0
Grote Alliance Partij,,54,"0,00 %",0
Staatkundige Federatie,,31,"0,00 %",0
