Partij,Aggregatie partij,# Stemmen,Percentage,# Zetels
PvdA,,2494555,"28,98 %",45
VVD,,2124971,"24,69 %",38
CDA,,1581053,"18,37 %",29
D66,,773497,"8,99 %",14
GL,,625968,"7,27 %",11
SP,,303703,"3,53 %",5
RPF,,174593,"2,03 %",3
SGP,,153583,"1,78 %",3
GPV,,108724,"1,26 %",2
CD,,52226,"0,61 %",0
AOV/Unie55+,,45994,"0,53 %",0
Nederland Mobiel,,45219,"0,53 %",0
Senioren 2000,,36157,"0,42 %",0
Nederlandse Middenstands Partij,,23512,"0,27 %",0
De Groenen,,16585,"0,19 %",0
Natuurwetpartij,,15746,"0,18 %",0
Katholiek Politieke Partij,,8233,"0,10 %",0
Vrije Indische Partij,,7225,"0,08 %",0
Nieuw Solidair Ouderen Verbond,,6455,"0,07 %",0
Nieuwe Communistische Partij,,5620,"0,07 %",0
Idealisten/Jij,,2500,"0,03 %",0
Het Kiezers Collectief,,1668,"0,02 %",0
