Partij,Aggregatie partij,# Stemmen,Percentage,# Zetels
PvdA,,2153135,"23,97 %",37
CDA,,1996418,"22,23 %",34
VVD,,1792401,"19,96 %",31
D66,,1391202,"15,49 %",24
AOV,,326401,"3,63 %",6
GL,,311399,"3,47 %",5
CD,,220734,"2,46 %",3
RPF,,158705,"1,77 %",3
SGP,,155251,"1,73 %",2
GPV,,119158,"1,33 %",2
SP,,118768,"1,32 %",2
Unie55+,,78147,"0,87 %",1
CP86,,32327,"0,36 %",0
Natuurwetpartij,,27665,"0,31 %",0
Vrije Indische Partij,,17230,"0,19 %",0
De Groenen,,13902,"0,15 %",0
Nieuwe Communistische Partij,,11630,"0,13 %",0
Solidariteit Boerenpartij,,9096,"0,10 %",0
Partij voor Milieu en Recht,,8716,"0,10 %",0
Solidair '93,,7919,"0,09 %",0
PSP'92,,7385,"0,08 %",0
De Nieuwe Partij,,6825,"0,08 %",0
Algemeen Democratische Partij,,5196,"0,06 %",0
Patriottisch Democratisch App�l,,4845,"0,05 %",0
Socialistische Arbeiderspartij,,4347,"0,05 %",0
Libertarische Partij,,2754,"0,03 %",0
