Partij,Aggregatie partij,# Stemmen,Percentage,# Zetels
CDA,,2608573,"26,51 %",41
PvdA,,2085077,"21,19 %",33
SP,,1630803,"16,58 %",25
VVD,,1443312,"14,67 %",22
PVV,,579490,"5,89 %",9
GL,,453054,"4,60 %",7
CU,,390969,"3,97 %",6
D66,,193232,"1,96 %",3
PvdD,,179988,"1,83 %",2
SGP,,153266,"1,56 %",2
E�nNL,,62829,"0,64 %",0
Fortuyn,,20956,"0,21 %",0
Verenigde Senioren Partij,,12522,"0,13 %",0
Ad Bos Collectief,,5149,"0,05 %",0
Partij voor Nederland,,5010,"0,05 %",0
Lijst Potmis,,4339,"0,04 %",0
Nederland Transparant,,2318,"0,02 %",0
Groen Vrij Internet Partij,,2297,"0,02 %",0
Liberaal Democratische Partij,,2276,"0,02 %",0
Lijst Poortman,,2181,"0,02 %",0
Continue Directe Democratie Partij,,559,"0,01 %",0
LRVP - het Zeteltje,,185,"0,00 %",0
Solide Multiculturele Partij,,184,"0,00 %",0
Tamara's Open Partij,,114,"0,00 %",0
