Partij,Aggregatie partij,# Stemmen,Percentage,# Zetels
CDA,,2653723,"27,93 %",43
LPF,,1614801,"17,00 %",26
VVD,,1466722,"15,44 %",24
PvdA,,1436023,"15,11 %",23
GL,,660692,"6,95 %",10
SP,,560447,"5,90 %",9
D66,,484317,"5,10 %",7
CU,,240953,"2,54 %",4
SGP,,163562,"1,72 %",2
LN,,153055,"1,61 %",2
Verenigde Senioren Partij,,39005,"0,41 %",0
Vrije Indische Partij & OuderenUnie,,10033,"0,11 %",0
Duurzaam Nederland,,9058,"0,10 %",0
Partij van de Toekomst,,6393,"0,07 %",0
Nieuwe Midden Partij,,2305,"0,02 %",0
Republikeinse Volkspartij,,63,"0,00 %",0
