Partij,Aggregatie partij,# Stemmen,Percentage,# Zetels
VVD,,2504948,"26,58 %",41
Partij van de Arbeid (P.v.d.A.),,2340750,"24,84 %",38
PVV (Partij voor de Vrijheid),,950263,"10,08 %",15
SP (Socialistische Partij),,909853,"9,65 %",15
Christen Democratisch App�l (CDA),,801620,"8,51 %",13
Democraten 66 (D66),,757091,"8,03 %",12
ChristenUnie,,294586,"3,13 %",5
GROENLINKS,,219896,"2,33 %",4
Staatkundig Gereformeerde Partij (SGP),,196780,"2,09 %",3
Partij voor de Dieren,,182162,"1,93 %",2
50PLUS,,177631,"1,88 %",2
Piratenpartij,,30600,"0,32 %",0
Partij voor Mens en Spirit (MenS),,18310,"0,19 %",0
SOPN,,12982,"0,14 %",0
Partij van de Toekomst (PvdT),,8194,"0,09 %",0
Democratisch Politiek Keerpunt DPK,,7363,"0,08 %",0
Libertarische Partij (LP),,4163,"0,04 %",0
Nederland Lokaal,,2842,"0,03 %",0
Liberaal Democratische Partij (LibDem),,2126,"0,02 %",0
Anti Europa Partij,,2013,"0,02 %",0
Politieke Partij NXD,,62,"0,00 %",0
